comune,mcp,locale,locale15,n_celle,max30,max15,celle_nz,min_polo,classe,scarto,quota_nz
Castel Madama,2.546364,2.054054054054054,0.40540540540540543,37,6.0,1.0,35,16.8,C - Cintura,0.4923099459459461,0.9459459459459459
Monterosi,2.544909,0.6428571428571429,0.0,14,1.0,0.0,9,31.3,D - Intermedio,1.9020518571428573,0.6428571428571429
Morlupo,2.512654,0.8214285714285714,0.0,28,2.0,0.0,16,33.6,D - Intermedio,1.6912254285714285,0.5714285714285714
Contigliano,2.46158,1.0735294117647058,0.0,68,3.0,0.0,46,12.9,C - Cintura,1.3880505882352943,0.6764705882352942
Labro,2.456407,1.0588235294117647,0.0,17,2.0,0.0,10,24.1,C - Cintura,1.3975834705882353,0.5882352941176471
Vicovaro,2.3889,0.6046511627906976,0.0,43,2.0,0.0,25,19.5,C - Cintura,1.7842488372093024,0.5813953488372093
Montalto di Castro,2.386528,0.3333333333333333,0.0,246,2.0,0.0,71,29.6,D - Intermedio,2.0531946666666667,0.2886178861788618
Rivodutri,2.383101,0.3333333333333333,0.0,36,1.0,0.0,12,19.5,C - Cintura,2.0497676666666664,0.3333333333333333
Bomarzo,2.338774,0.25,0.0,52,1.0,0.0,13,21.4,C - Cintura,2.088774,0.25
Morro Reatino,2.308974,0.05263157894736842,0.0,19,1.0,0.0,1,22.7,C - Cintura,2.2563424210526315,0.05263157894736842
Mentana,2.298982,1.1612903225806452,0.7096774193548387,31,2.0,1.0,31,27.3,C - Cintura,1.1376916774193548,1.0
Anagni,2.270043,1.3142857142857143,0.007142857142857143,140,3.0,1.0,113,34.1,D - Intermedio,0.9557572857142855,0.8071428571428572
Gavignano,2.169125,1.2,0.3,20,2.0,1.0,20,33.4,D - Intermedio,0.9691250000000002,1.0
Colleferro,2.137991,1.7567567567567568,0.6756756756756757,37,6.0,1.0,36,29.9,D - Intermedio,0.3812342432432432,0.972972972972973
Anzio,2.057194,2.0,0.9629629629629629,54,2.0,2.0,54,0.0,A - Polo,0.05719399999999997,1.0
Santa Marinella,2.043902,0.7966101694915254,0.03389830508474576,59,2.0,1.0,32,15.9,C - Cintura,1.2472918305084746,0.5423728813559322
Sant'Angelo Romano,2.039316,0.8571428571428571,0.0,28,2.0,0.0,23,31.6,D - Intermedio,1.1821731428571427,0.8214285714285714
Roviano,2.029277,1.1818181818181819,0.0,11,2.0,0.0,8,30.7,D - Intermedio,0.8474588181818181,0.7272727272727273
Riofreddo,2.010329,0.26666666666666666,0.0,15,2.0,0.0,2,36.2,D - Intermedio,1.7436623333333334,0.13333333333333333
Gallinaro,2.0,1.7083333333333333,0.0,24,2.0,0.0,24,25.0,C - Cintura,0.29166666666666674,1.0
Sgurgola,2.0,0.7916666666666666,0.0,24,2.0,0.0,17,33.3,D - Intermedio,1.2083333333333335,0.7083333333333334
Civitavecchia,1.997298,1.8571428571428572,0.5604395604395604,91,2.0,2.0,90,0.0,A - Polo,0.1401551428571428,0.989010989010989
San Giorgio a Liri,1.994849,1.4,0.0,20,2.0,0.0,18,17.8,C - Cintura,0.5948490000000002,0.9
Sant'Ambrogio sul Garigliano,1.99153,0.6363636363636364,0.0,11,2.0,0.0,6,21.4,C - Cintura,1.3551663636363638,0.5454545454545454
Tarquinia,1.990186,1.312849162011173,0.32122905027932963,358,2.0,2.0,316,20.9,C - Cintura,0.6773368379888269,0.88268156424581
Paliano,1.988065,1.103448275862069,0.11494252873563218,87,4.0,1.0,76,34.2,D - Intermedio,0.884616724137931,0.8735632183908046
Atina,1.985863,1.6285714285714286,0.0,35,2.0,0.0,29,18.8,C - Cintura,0.3572915714285714,0.8285714285714286
Castelnuovo Parano,1.984736,1.2857142857142858,0.0,14,2.0,0.0,12,24.0,C - Cintura,0.6990217142857142,0.8571428571428571
Vignanello,1.983226,0.2962962962962963,0.0,27,1.0,0.0,8,23.4,C - Cintura,1.6869297037037037,0.2962962962962963
Allumiere,1.980615,0.3391304347826087,0.017391304347826087,115,2.0,1.0,29,21.8,C - Cintura,1.6414845652173913,0.25217391304347825
Vicalvi,1.976527,1.8,0.8,10,2.0,1.0,10,23.1,C - Cintura,0.17652699999999988,1.0
Carbognano,1.976412,0.5454545454545454,0.0,22,1.0,0.0,12,27.2,C - Cintura,1.4309574545454546,0.5454545454545454
Canepina,1.970167,0.9230769230769231,0.15384615384615385,26,1.0,1.0,24,18.3,C - Cintura,1.0470900769230769,0.9230769230769231
Vallerano,1.968391,0.42857142857142855,0.0,21,1.0,0.0,9,20.8,C - Cintura,1.5398195714285714,0.42857142857142855
Genazzano,1.968381,1.1428571428571428,0.0,42,2.0,0.0,39,36.8,D - Intermedio,0.8255238571428571,0.9285714285714286
